X,Y,Z,ID,Description
2490.749,5208.49,2413.63,35,
2338.83,4956.32,2478.983,270,
2239.591,4675.668,2279.551,274,
2048.014,4743.48,2397.164,280,
2653.844,4933.476,2484.916,281,
2264.334,4856.906,2514.351,286,
2662.933,5150.766,2716.595,287,
2340.324,5015.782,2651.897,288,
2610.555,5184.294,2071.507,6,
2289.664,4879.516,2303.438,57,
2639.21,4899.573,2278.733,56,
2307.23,5000.628,2310.373,42,
